,이름,주소,위도,경도,단어
371,도장포낚시터,경상남도 거제시 남부면 도장포3길 지선,34.745,128.6663,"['경상', '경상남도', '남도', '거제', '거제시', '남부', '남부면', '면', '도장포', '도장포3길', '3', '길', '지선']"
372,유호어촌계낚시터,경상남도 거제시 장목면 유호리 지선,35.028,128.7168,"['경상', '경상남도', '남도', '거제', '거제시', '장목', '장목면', '면', '유', '유호리', '호리', '지선']"
373,덕포어촌계낚시터,경상남도 거제시 덕포동 38-6번지 지선,34.9107,128.7164,"['경상', '경상남도', '남도', '거제', '거제시', '덕포', '덕포동', '동', '번지', '지선']"
374,창외어촌계낚시터,경상남도 거제시 사등면 창호리 지선,34.9269,128.5215,"['경상', '경상남도', '남도', '거제', '거제시', '사등', '사등면', '면', '창호', '창호리', '리', '지선']"
375,고고실내바다낚시,경상남도 양산시 하북면 용연로 109-1,35.44907046,129.0739858,"['경상', '경상남도', '남도', '양산', '양산시', '하북', '하북면', '면', '용', '용연로', '연로']"
376,해적낚시까페,"경상남도 양산시 물금읍 야리로 129, 402호",35.312878,129.009007,"['경상', '경상남도', '남도', '양산', '양산시', '물금', '물금읍', '야', '야리', '리', '129', '402', '402호', '호']"
377,힐링낚시까페,경상남도 양산시 북정서길 16 세롬성원네오파트 상가동 B101호,35.35965485,129.042319,"['경상', '경상남도', '남도', '양산', '양산시', '북', '북정서길', '정서', '길', '16', '세', '세롬성원네오', '롬', '성원', '네오', '파트', '상가', '상가동', '동', '101', '101호', '호']"
378,화제낚시터,경상남도 경상남도 양산시 원동로 715-33,35.341618,128.969791,"['경상', '경상남도', '남도', '양산', '양산시', '원동']"
379,용연낚시터,경상남도 경상남도 양산시 하북면 삼리길 62-10,35.444533,129.079991,"['경상', '경상남도', '남도', '양산', '양산시', '하북', '하북면', '면', '삼리', '삼리길', '길']"
380,산천낚시터,경상남도 경상남도 양산시 하북면 백록로 123,35.459104,129.085365,"['경상', '경상남도', '남도', '양산', '양산시', '하북', '하북면', '면', '백록', '123']"
381,중화어촌계낚시터,경상남도 통영시 산양읍 연화리 산 228,34.780811,128.379185,"['경상', '경상남도', '남도', '통영', '통영시', '산양', '산양읍', '연화', '연화리', '리', '산', '228']"
382,도동 낚시터,경상남도 통영시 욕지면 욕지일주로 896-104,34.679583,128.253251,"['경상', '경상남도', '남도', '통영', '통영시', '욕지', '욕지면', '면', '욕', '욕지일', '지일']"
383,용머리낚시터,경상남도 통영시 욕지면 연화리 산 13,34.65714676,128.3469023,"['경상', '경상남도', '남도', '통영', '통영시', '욕지', '욕지면', '면', '연화', '연화리', '리', '산', '13']"
384,동영낚시터,경상남도 통영시 욕지면 연화리 산 145-1,34.64936942,128.3490952,"['경상', '경상남도', '남도', '통영', '통영시', '욕지', '욕지면', '면', '연화', '연화리', '리', '산']"
385,능양유료낚시터,경상남도 통영시 사량면 양지리 산 94,34.80872192,128.2405895,"['경상', '경상남도', '남도', '통영', '통영시', '사량', '사량면', '면', '양', '양지리', '지리', '산', '94']"
386,유동낚시터,경상남도 통영시 욕지면 서산리 117-1 마을회관,34.80872192,128.2405895,"['경상', '경상남도', '남도', '통영', '통영시', '욕지', '욕지면', '면', '서산', '마을', '마을회관', '회관']"
387,한마음낚시터,경상남도 통영시 욕지면 노대리 44-1,34.66611518,128.2483465,"['경상', '경상남도', '남도', '통영', '통영시', '욕지', '욕지면', '면', '노', '노대리', '대리']"
388,통영등대낚시공원,경상남도 통영시 산양읍 영운리 72-12,34.81074538,128.441055,"['경상', '경상남도', '남도', '통영', '통영시', '산양', '산양읍', '영운', '영운리', '리']"
389,제2유동낚시터,경상남도 통영시 욕지면 서산리 산33,34.61695055,128.2325726,"['경상', '경상남도', '남도', '통영', '통영시', '욕지', '욕지면', '면', '산리', '산', '산33', '33']"
390,외지유료낚시터,경상남도 통영시 사량면 양지리 677-6,34.81235844,128.2147933,"['경상', '경상남도', '남도', '통영', '통영시', '사량', '사량면', '면', '양지']"
391,옥동산내어촌계 유료낚시터,경상남도 통영시 욕지면 동항리 183-4,34.63404947,128.2808186,"['경상', '경상남도', '남도', '통영', '통영시', '욕지', '욕지면', '면', '동항']"
392,백학어촌계 유료낚시터,경상남도 통영시 사량면 양지리 산 88-1,34.80861114,128.2550604,"['경상', '경상남도', '남도', '통영', '통영시', '사량', '사량면', '면', '양', '양지리', '지리', '산']"
393,사량도 바다낚시터,경상남도 통영시 사량면 금평리 247-10,34.84478654,128.223943,"['경상', '경상남도', '남도', '통영', '통영시', '사량', '사량면', '면', '금', '금평', '평']"
394,탄항좌대낚시터,경상남도 통영시 욕지면 노대리 산14-6,34.679583,128.253251,"['경상', '경상남도', '남도', '통영', '통영시', '욕지', '욕지면', '면', '노', '노대리', '대리', '산']"
395,동두좌대낚시터,경상남도 통영시 욕지면 연화리 산2-45,34.642713,128.369739,"['경상', '경상남도', '남도', '통영', '통영시', '욕지', '욕지면', '면', '연화', '연화리', '리', '산']"
396,장촌낚시터,경상남도 통영시 산양읍 풍화리 343-1,34.817821,128.37093,"['경상', '경상남도', '남도', '통영', '통영시', '산양', '산양읍', '풍화']"
397,동머리낚시터,경상남도 통영시 욕지면 연화리 산2-46,34.642236,128.370198,"['경상', '경상남도', '남도', '통영', '통영시', '욕지', '욕지면', '면', '연화', '연화리', '리', '산']"
398,노대조은낚시터,경상남도 통영시 욕지면 노대리 산15-24,34.669446,128.251937,"['경상', '경상남도', '남도', '통영', '통영시', '욕지', '욕지면', '면', '노', '노대리', '대리', '산']"
399,지정낚시터,경상남도 의령군 지정면 함의로 1360-17,35.37455951,128.402504,"['경상', '경상남도', '남도', '의령', '의령군', '지정', '지정면', '면', '함의']"
400,설리바다낚시터,경상남도 남해군 미조면 미송로303번안길 8-13,34.704381,128.027913,"['경상', '경상남도', '남도', '남해', '남해군', '미조', '미조면', '면', '미', '미송로303번', '송로', '303', '번']"
401,설리 낚시터,경상남도 남해군 미조면 미송로303번안길 8-13,34.706407,128.024712,"['경상', '경상남도', '남도', '남해', '남해군', '미조', '미조면', '면', '미', '미송로303번', '송로', '303', '번']"
402,사항제2낚시터,경상남도 남해군 미조면 미조로 212,34.708829,128.058231,"['경상', '경상남도', '남도', '남해', '남해군', '미조', '미조면', '면', '미', '미조로', '조로', '212']"
